Observation,Y-Kappa,ChipRate,BF-CMratio,BlowFlow,ChipLevel4 ,T-upperExt-2 ,T-lowerExt-2  ,UCZAA,WhiteFlow-4 ,AAWhiteSt-4 ,AA-Wood-4  ,ChipMoisture-4 ,SteamFlow-4 ,Lower-HeatT-3,Upper-HeatT-3 ,ChipMass-4 ,WeakLiquorF ,BlackFlow-2 ,WeakWashF ,SteamHeatF-3 ,T-Top-Chips-4 ,SulphidityL-4 
31-01:00,27.6,16.81,79.022,1328.36,341.327,351.05,329.067,1.549,537.201,6.076,16.543,43.954,60.012,330.823,304.879,163.202,665.975,1297.317,241.182,46.603,251.406,29.11
31-02:00,23.19,16.709,79.562,1329.407,239.161,350.022,329.26,1.6,549.611,,16.559,44.495,61.304,329.14,303.383,164.013,677.534,1327.072,237.272,51.795,251.335,
31-03:00,23.6,16.478,81.011,1334.877,213.527,350.938,331.142,1.604,623.362,6.054,16.562,45.592,68.496,328.875,302.254,181.487,767.853,1324.461,239.478,54.846,250.312,29.02
31-04:00,22.9,15.618,93.244,1334.168,243.131,351.64,332.709,,638.672,6.11,16.677,45.512,70.022,328.352,300.954,183.929,888.448,1343.424,215.372,54.186,249.916,29.01
31-11:00,26.62,15.467,84.447,1334.255,386.971,349.392,321.021,1.428,531.25,,16.668,44.58,59.407,330.284,303.248,156.797,799.947,1299.782,118.901,46.597,251.721,
31-12:00,27.2,16.083,82.839,1332.331,366.855,350.094,327.439,1.486,527.893,6.19,16.669,44.541,60.271,330.023,302.883,160.562,771.158,1299.974,153.647,47.175,251.767,30.18
31-13:00,24.05,16.675,77.025,1284.386,246.336,350.317,329.24,1.538,537.811,,16.709,44.694,58.979,329.56,302.146,160.587,823.039,1300.545,372.228,51.74,251.492,
31-15:00,24.1,15.8,79.387,1203.375,52.241,352.311,333.573,,606.425,6.2,16.822,45.818,68.501,330.218,303.019,177.923,770.599,1317.016,413.772,54.871,251.752,30.42
31-16:00,17.4,15.158,87.057,1218.797,6.476,350.724,330.613,1.553,628.041,,16.822,45.367,68.633,328.218,300.495,178.152,781.992,1315.006,415.542,56.812,251.67,
1-21:00,21.5,15.917,75.129,1231.493,279.928,343.39,321.641,1.474,606.018,,18.353,45.783,62.001,319.516,296.955,165.28,791.758,996.295,420.506,46.153,251.624,
